number,music_title,singer,duration
1,Satisfaction (타이틀 뮤직),Vienna Symphonic Orchestra Project,0.0
2,Everybody Talks,Neon Trees,177.28
3,The World I Know (LP Version),Collective Soul,0.0
4,Man In The Mirror (2012 Remaster),Michael Jackson,318.68
5,Love Is a Wonderful Thing,Michael Bolton,282.93
6,Six Play,George Benson,244.8
7,Ballad For Kay (철수는 오늘 BGM),Acoustic Alchemy,0.0
8,My Way,신해철,203.71
9,Just Once,Quincy Jones,273.33
10,Love Is A Losing Game,Amy Winehouse,155.41
11,빗물 (퀴즈용 음악),송골매,0.0
12,Senorita,"Shawn Mendes, Camila Cabello",190.8
13,You,Maiah Manser,211.13
14,Tragedy,Foo Fighters,0.0
15,The Trooper (2015 Remaster),Iron Maiden,252.73
16,Die With A Smile,"Lady Gaga, Bruno Mars",251.67
17,Dancing In The Flames,The Weeknd,220.04
18,HEARTBREAK ANNIVERSARY,Giveon,198.37
19,Off My Face,Justin Bieber,156.47
20,Misread,Kings Of Convenience,188.4
