No,Title,Artist
1,Connection,Elastica
2,101 Eastbound,Fourplay
3,Remember The Time,Michael Jackson
4,True To Your Heart (Feat. Stevie Wonder),98°
5,We Didn't Start the Fire,Billy Joel
6,No More Lonely Nights (Ballad),Paul McCartney
7,Love Is All Around,Wet Wet Wet
8,Sorry Seems To Be The Hardest Word,Blue
9,Breathe Again,Toni Braxton
10,Blinding Lights,The Weeknd
11,A Time For Us,Mantovani
12,Rio Funk (Album Version),Lee Ritenour
13,Truth Hurts,Lizzo
14,Somebody That I Used To Know (Feat. Kimbra),Gotye
15,Burn (Radio Mix),Usher
16,Always On My Mind,Elvis Presley
17,When I Was Your Man,Bruno Mars
18,Torn,Natalie Imbruglia
19,모차르트 : 피아노 소나타 16번 다장조 ? 1악장,릴렉싱 모드 (Relaxing Mode)
20,Torn,Natalie Imbruglia
21,Landslide,Fleetwood Mac
22,I Will Survive,Gloria Gaynor
23,Nothing Compares 2 U,Sinead O'Connor
24,You're So Vain,Carly Simon
25,You're So Vain,Carly Simon
